,test_type,sql_query,sql_result,llm_user_query,llm_sql_query,llm_result,correct_result
12,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The State Bank""",2006-10-25 00:00:00,What was the last update for The State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'The State Bank' LIMIT 1",2006-10-25 00:00:00,1
13,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The State Bank"" ",1744250,What is the maximum total assets The State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
14,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First State Bank""",1999-05-05 00:00:00,What was the last update for First State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'First State Bank' LIMIT 1",1999-05-05 00:00:00,1
15,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First State Bank"" ",1900083,What is the maximum total assets First State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
16,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Marine Midland Trust Company of Mohawk Valley""",1995-06-08 00:00:00,What was the last update for Marine Midland Trust Company of Mohawk Valley?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Marine Midland Trust Company of Mohawk Valley""",1995-06-08 00:00:00,1
17,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Marine Midland Trust Company of Mohawk Valley"" ",,What is the maximum total assets Marine Midland Trust Company of Mohawk Valley ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_3""",1699404,0
18,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Bank of Canton""",2000-05-30 00:00:00,What was the last update for Bank of Canton?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Bank of Canton""",2000-05-30 00:00:00,1
19,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Bank of Canton"" ",500428,What is the maximum total assets Bank of Canton ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
20,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Germantown Savings Bank""",1994-12-12 00:00:00,What was the last update for Germantown Savings Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Germantown Savings Bank""",1994-12-12 00:00:00,1
21,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Germantown Savings Bank"" ",1564697,What is the maximum total assets Germantown Savings Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
22,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Bank of Burlington""",2023-03-08 00:00:00,What was the last update for The Bank of Burlington?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""The Bank of Burlington"" LIMIT 1",2023-03-08 00:00:00,1
23,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Bank of Burlington"" ",78231,What is the maximum total assets The Bank of Burlington ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
24,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Citizens National Bank of Albion""",2022-08-31 00:00:00,What was the last update for Citizens National Bank of Albion?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Citizens National Bank of Albion""",2022-08-31 00:00:00,1
25,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Citizens National Bank of Albion"" ",334236,What is the maximum total assets Citizens National Bank of Albion ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
26,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Sandstone State Bank""",1990-10-04 00:00:00,What was the last update for Sandstone State Bank?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""Sandstone State Bank""",1990-10-04 00:00:00,1
27,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Sandstone State Bank"" ",13059,What is the maximum total assets Sandstone State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
28,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Markesan State Bank""",2019-11-18 00:00:00,What was the last update for Markesan State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Markesan State Bank'",2019-11-18 00:00:00,1
29,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Markesan State Bank"" ",110484,What is the maximum total assets Markesan State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
30,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First American Bank""",2022-08-31 00:00:00,What was the last update for First American Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""First American Bank"" LIMIT 1",2022-08-31 00:00:00,1
31,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First American Bank"" ",6675372,What is the maximum total assets First American Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
32,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""FIRST NATIONAL BANK OF NOKOMIS""",2022-08-31 00:00:00,What was the last update for FIRST NATIONAL BANK OF NOKOMIS?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""FIRST NATIONAL BANK OF NOKOMIS""",2022-08-31 00:00:00,1
33,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""FIRST NATIONAL BANK OF NOKOMIS"" ",178789,What is the maximum total assets FIRST NATIONAL BANK OF NOKOMIS ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
34,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The City State Bank of Palacios""",2013-08-28 00:00:00,What was the last update for The City State Bank of Palacios?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""The City State Bank of Palacios""",2013-08-28 00:00:00,1
35,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The City State Bank of Palacios"" ",52032,What is the maximum total assets The City State Bank of Palacios ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""The City State Bank of Palacios""",52032,1
36,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Lake City State Bank""",1990-10-04 00:00:00,What was the last update for Lake City State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Lake City State Bank' LIMIT 1",1990-10-04 00:00:00,1
37,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Lake City State Bank"" ",57324,What is the maximum total assets Lake City State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
38,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First Security Bank-Hendricks""",2022-08-31 00:00:00,What was the last update for First Security Bank-Hendricks?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""First Security Bank-Hendricks""",2022-08-31 00:00:00,1
39,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First Security Bank-Hendricks"" ",42678,What is the maximum total assets First Security Bank-Hendricks ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
40,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The First State Bank of Thornton, Iowa""",2008-04-02 00:00:00,"What was the last update for The First State Bank of Thornton, Iowa?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""The First State Bank of Thornton, Iowa""",2008-04-02 00:00:00,1
41,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The First State Bank of Thornton, Iowa"" ",22967,"What is the maximum total assets The First State Bank of Thornton, Iowa ever had?","SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
42,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Tippins Bank""",2012-03-28 00:00:00,What was the last update for Tippins Bank?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""Tippins Bank""",2012-03-28 00:00:00,1
43,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Tippins Bank"" ",60082,What is the maximum total assets Tippins Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
44,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Citizens National Bank of Downers Grove""",1999-12-27 00:00:00,What was the last update for Citizens National Bank of Downers Grove?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Citizens National Bank of Downers Grove""",1999-12-27 00:00:00,1
45,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Citizens National Bank of Downers Grove"" ",167695,What is the maximum total assets Citizens National Bank of Downers Grove ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
46,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Northeast Georgia Bank""",2022-08-31 00:00:00,What was the last update for Northeast Georgia Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Northeast Georgia Bank""",2022-08-31 00:00:00,1
47,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Northeast Georgia Bank"" ",590593,What is the maximum total assets Northeast Georgia Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
48,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Mediapolis Savings Bank""",2023-01-12 00:00:00,What was the last update for Mediapolis Savings Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE institution_name = 'Mediapolis Savings Bank' LIMIT 1",2023-01-12 00:00:00,1
49,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Mediapolis Savings Bank"" ",239924,What is the maximum total assets Mediapolis Savings Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
50,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""S & C Bank, Chippewa""",,"What was the last update for S & C  Bank, Chippewa?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""S & C Bank, Chippewa""",,0
51,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""S & C Bank, Chippewa"" ",,"What is the maximum total assets S & C  Bank, Chippewa ever had?","SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
52,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""State Bank of Raritan Valley""",1998-12-10 00:00:00,What was the last update for State Bank of Raritan Valley?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""State Bank of Raritan Valley""",1998-12-10 00:00:00,1
53,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""State Bank of Raritan Valley"" ",,What is the maximum total assets State Bank of Raritan Valley ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""State Bank of Raritan Valley""",,1
54,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Tilden Bank""",2021-01-12 00:00:00,What was the last update for The Tilden Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'The Tilden Bank'",2021-01-12 00:00:00,1
55,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Tilden Bank"" ",91956,What is the maximum total assets The Tilden Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
56,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Farmers Bank and Trust Company""",2022-08-31 00:00:00,What was the last update for Farmers Bank and Trust Company?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Farmers Bank and Trust Company""",2022-08-31 00:00:00,1
57,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Farmers Bank and Trust Company"" ",662086,What is the maximum total assets Farmers Bank and Trust Company ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
58,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First Financial Bank""",2012-12-31 00:00:00,What was the last update for First Financial Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'First Financial Bank' LIMIT 1",2012-12-31 00:00:00,1
59,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First Financial Bank"" ",16976582,What is the maximum total assets First Financial Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
60,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First Midwest Bank/Joliet, National Association""",1990-10-04 00:00:00,"What was the last update for First Midwest Bank/Joliet, National Association?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""First Midwest Bank/Joliet, National Association""",1990-10-04 00:00:00,1
61,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First Midwest Bank/Joliet, National Association"" ",398142,"What is the maximum total assets First Midwest Bank/Joliet, National Association ever had?","SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
62,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Grant County Bank""",2022-08-31 00:00:00,What was the last update for Grant County Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Grant County Bank'",2022-08-31 00:00:00,1
63,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Grant County Bank"" ",277411,What is the maximum total assets Grant County Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
64,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Farmers & Merchants Bank""",2020-09-08 00:00:00,What was the last update for The Farmers & Merchants Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'The Farmers & Merchants Bank' LIMIT 1",2020-09-08 00:00:00,1
65,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Farmers & Merchants Bank"" ",1789202,What is the maximum total assets The Farmers & Merchants Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""The Farmers & Merchants Bank""",1789202,1
66,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Peterson State Bank""",1999-05-05 00:00:00,What was the last update for Peterson State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Peterson State Bank'",1999-05-05 00:00:00,1
67,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Peterson State Bank"" ",,What is the maximum total assets Peterson State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,1
68,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Banterra Bank of West Frankfort""",1998-09-24 00:00:00,What was the last update for Banterra Bank of West Frankfort?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Banterra Bank of West Frankfort""",1998-09-24 00:00:00,1
69,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Banterra Bank of West Frankfort"" ",104272,What is the maximum total assets Banterra Bank of West Frankfort ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
70,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Norwest Bank Hillsboro, National Association""",1990-10-04 00:00:00,"What was the last update for Norwest Bank Hillsboro, National Association?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Norwest Bank Hillsboro, National Association""",1990-10-04 00:00:00,1
71,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Norwest Bank Hillsboro, National Association"" ",42368,"What is the maximum total assets Norwest Bank Hillsboro, National Association ever had?","SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""Norwest Bank Hillsboro, National Association""",42368,1
72,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First Security Bank""",2022-08-31 00:00:00,What was the last update for First Security Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'First Security Bank' LIMIT 1",2022-08-31 00:00:00,1
73,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First Security Bank"" ",7543919,What is the maximum total assets First Security Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
74,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Seminole State National Bank""",1997-07-02 00:00:00,What was the last update for Seminole State National Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Seminole State National Bank""",1997-07-02 00:00:00,1
75,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Seminole State National Bank"" ",,What is the maximum total assets Seminole State National Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,1
76,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Stock Exchange Bank, Caldwell, Kansas""",2022-08-31 00:00:00,"What was the last update for The Stock Exchange Bank, Caldwell, Kansas?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""The Stock Exchange Bank"" AND dw_financial_institution_profiles.city = ""Caldwell"" AND dw_financial_institution_profiles.state = ""Kansas"" LIMIT 1",,0
